Altium Designer Pick and Place Locations
C:\Users\fourn\Altium\AD25\Projects\Arribada\linkit-v4-hw\Project Outputs for linkit-v4-hw\smd-variant\linkit-v4-smd-v1.1\Pick Place\Pick Place for linkit-v4-1.1_6layers_smdonly(linkit-v4-hw-SMD).txt

========================================================================================================================
File Design Information:

Date:       18/08/26
Time:       09:33
Revision:   9dd4b1e34a14a6962abd63f29ea9ea0cc9533aeb
Variant:    linkit-v4-hw-SMD
Units used: mil

Designator Comment                     Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
D10        PESD12VS1UL,315             TopLayer    PESD5V0S1BL315          2434.760      180.000       180      "Diode ESD (Uni-directional)"                                                                                                                
D9         PESD12VS1UL,315             TopLayer    PESD5V0S1BL315          2330.000      180.000       0        "Diode ESD (Uni-directional)"                                                                                                                
D8         ESD9L5.0ST5GH               BottomLayer SODFL1006X40N           1565.000      1285.000      180      Diode                                                                                                                                        
D7         ESD9L5.0ST5GH               BottomLayer SODFL1006X40N           1815.000      1185.000      270      Diode                                                                                                                                        
D6         PMEG4010CEAX                TopLayer    SOD2512X110N            2025.000      479.724       90       Diode                                                                                                                                        
D5         PMEG4010CEAX                TopLayer    SOD2512X110N            2025.000      325.000       270      Diode                                                                                                                                        
C43        C0603C123K5RACTU            TopLayer    CAPC1608X90N            2150.000      215.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.012uF X7R 0603 10%"                                                                      
U10        TPS63901YCJR                TopLayer    BGA12C35P3X4_111X146X35 1961.735      914.648       180      "Switching Voltage Regulators 5.5-V buck-boost con verter with 75-nA op"                                                                     
FB5        BLM18AG102SN1D              BottomLayer BLM18SP221SN1B          2225.000      185.000       0        "Ferrite Bead - 1000 OHM 25%"                                                                                                                
FB4        BLM18AG102SN1D              TopLayer    BLM18SP221SN1B          1830.866      1061.608      180      "Ferrite Bead - 1000 OHM 25%"                                                                                                                
FB2        BLM18AG102SN1D              TopLayer    BLM18SP221SN1B          2290.341      370.150       270      "Ferrite Bead - 1000 OHM 25%"                                                                                                                
FB1        BLM18HE601SN1D              TopLayer    BLM18SP221SN1B          1720.000      1115.000      0        "Ferrite Beads 600 OHM 25%"                                                                                                                  
C33        GRM155R71H271KA01J          TopLayer    CAPC1005X70N            2340.000      230.000       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 270 pF 50 VDC 10% 0402 X7R"                                                                    
R56        "4.7K 0201 1% 100PPM"       TopLayer    RES0201L                1370.000      630.000       0        "RES 4.7K 0201 1% 100PPM"                                                                                                                    
R55        CRCW04020000Z0EEHP          TopLayer    RESC1005X40N            1960.000      715.000       90       "Thick Film Resistors - SMD CRCW 402 jumper"                                                                                                 
R54        "4.7K 0201 1% 100PPM"       TopLayer    RES0201L                1255.000      835.000       90       "RES 4.7K 0201 1% 100PPM"                                                                                                                    
R53        CRCW04020000Z0EEHP          TopLayer    RESC1005X40N            1880.000      690.000       0        "Thick Film Resistors - SMD CRCW 402 jumper"                                                                                                 
R51        1kR                         TopLayer    RESC0603X28N            1411.969      1029.132      270      "Thick Film Resistors - SMD 1/20watt 1Kohms 1% 200ppm"                                                                                       
C58        GRM155R61H105ME05J          TopLayer    GRM15x                  1820.000      430.000       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 50 VDC 20% 0402 X5R"                                                                      
C57        GRM1555CYA103GE01D          TopLayer    GRM15x                  1441.969      1031.612      90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 35 VDC 2% 0402 C0G (NP0)"                                                              
C56        GRM155R61H105ME05J          BottomLayer GRM15x                  2165.917      24.596        0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 50 VDC 20% 0402 X5R"                                                                      
U1         BQ25176MDSGR                TopLayer    SON50P200X200X80-9N     1900.000      505.000       90       "Battery Management 800-mA linear batter y charger for one-ce"                                                                               
R38        ERJ-1GNF2550C               TopLayer    RESC0603X28N            2320.354      647.244       0        "Thick Film Resistors - SMD 0201 255ohm 1% HalogenFree AEC-Q200"                                                                             
R39        CRCW0201196RFKED            TopLayer    RESC0603X28N            2230.000      615.000       270      "Thick Film Resistors - SMD 1/20watt 196ohms 1% 100ppm"                                                                                      
R36        CRCW020120K0FKED            TopLayer    RESC0603X28N            2287.756      610.000       0        "Res Thick Film 0201 453 Ohm 1% 1/20W ±100ppm/°C Molded SMD SMD Paper T/R"                                                                   
R15        CRCW04021K60JNED            TopLayer    RESC1005X40N            1633.544      625.000       270      "Thick Film Resistors - SMD 1/16watt 1.6Kohms 5%"                                                                                            
R12        CRCW020127K4FNED            TopLayer    RESC0603X28N            1890.000      625.000       270      Resistor                                                                                                                                     
R11        CRCW0201383RFNED            TopLayer    RESC0603X28N            1890.158      395.000       90       "Thick Film Resistors - SMD 383ohm 1% 200ppm"                                                                                                
R10        ERJ-U02F1002X               TopLayer    ERJS02_U02_(0402)       1935.000      395.000       90       "Thick Film Resistors - SMD 0402 1% 10Kohm Anti-Sulfur AEC-Q200"                                                                             
C42        GRM188R61A226ME15D          TopLayer    GRM18x                  1971.416      995.676       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 22 uF 10 VDC 20% 0603 X5R"                                                                     
C31        GRM188R61C475KE11J          TopLayer    CAPC1608X90N            2434.252      456.145       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7 uF 16 VDC 10% 0603 X5R"                                                                    
Q5         CSD75208W1015               TopLayer    BGA6C50P2X3_95X145X62   2275.001      715.000       270      "MOSFETs 20V P-channel NexFET Pwr MOSFET A 595-CSD75208W1015T"                                                                               
C36        GRM188R71E474KA12D          TopLayer    GRM18x                  2377.992      325.000       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.47 uF 25 VDC 10% 0603 X7R"                                                                   
C35        GRM155R71E223KA61D          TopLayer    GRM15x                  2425.787      545.748       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.022 uF 25 VDC 10% 0402 X7R"                                                                  
C34        GRM155R71E103KA01D          TopLayer    CAPC1005X70N            2371.704      379.999       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 25 VDC 10% 0402 X7R"                                                                   
C32        GRM155R71H681KA01D          TopLayer    CAPC1005X70N            2290.000      285.000       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 680 pF 50 VDC 10% 0402 X7R"                                                                    
C29        GRM155R71E103KA01D          TopLayer    CAPC1005X70N            2205.000      379.999       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 25 VDC 10% 0402 X7R"                                                                   
C28        GRM188R71H103KA01D          TopLayer    CAPC1608X90N            2270.000      214.999       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT .01UF 50V 10% 0603"                                                                            
C25        GRM155R71E223KA61D          TopLayer    GRM15x                  2155.000      545.748       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.022 uF 25 VDC 10% 0402 X7R"                                                                  
C24        GCJ188R71H563KA12J          TopLayer    CAPC1608X90N            2215.000      215.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.056 uF 50 VDC 10% 0603 X7R AEC-Q200"                                                         
C23        GRM188R71E474KA12D          TopLayer    GRM18x                  2200.000      325.000       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.47 uF 25 VDC 10% 0603 X7R"                                                                   
R37        RC0201FR-7D10KL             TopLayer    RESC0603X26N            2391.378      595.748       0        "Thick Film Resistors - SMD 10 kOhms 50 mW 0201 1%"                                                                                          
U6         USBLC6-2SC6                 TopLayer    SOT95P280X145-6N        2359.640      1081.804      90       "ESD Suppressors / TVS Diodes High Speed Interface Protection Low Cap"                                                                       
L1         744232090                   TopLayer    WE-CNSW-SMD             2359.685      913.307       90       "Common Mode Chokes / Filters WE-CNSW 1206 370mA 90Ohm 100MHz AECQ200"                                                                       
J3         BC020-03-A-0200-0300-L-G    TopLayer    BC02003A02000300LG      1135.630      75.000        180      Connector                                                                                                                                    
C21        GRM155R61E105KE11D          TopLayer    CAPC1005X55N            1830.000      280.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 25 VDC 10% 0402 X5R"                                                                      
C19        GRM31CR61A107MEA8L          TopLayer    CAPC3216X180N           1725.000      365.000       270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 100 uF 10 VDC 20% 1206 X5R"                                                                    
U7         BQ51003YFPT                 TopLayer    BGA28C40P4X7_188X301X50 2291.378      495.748       180      "Wireless Charging ICs Wireless Pwr Receivr A 595-BQ51003YFPR"                                                                               
C2         GCM188R71C105KA64D          TopLayer    CAPC1608X90N            1795.000      535.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 16 VDC 10% 0603 X7R AEC-Q200"                                                             
U9         SAM-M10Q-00B                TopLayer    SAMM10Q00B              670.000       725.000       0        "GNSS / GPS Modules u-blox M10 GNSS antenna module ROM, TCXO, SAW, LNA LGA, 16x16 mm"                                                        
U8         BMA400                      TopLayer    LGA12-BMA400            1346.063      751.142       0        "IC AXL Accel/temp SPI/I2C 12LGA"                                                                                                            
U5         ADS1115IRUGR                TopLayer    ADS1115IRUGR            1541.694      1003.070      90       "Analog to Digital Converters - ADC 16B ADC w/ Int MUX P GA Comp Osc & Ref A"                                                                
U4         TPS22960RSER                TopLayer    TPS22960RSER            1408.426      404.684       180      "Power Switch ICs - Power Distribution Low Input VTG Dual L oad Switch"                                                                      
U3         IS25LP128F-JKLE             BottomLayer SON127P600X80_HS-9N     2259.999      820.000       0        "IC MEM SERIAL NOR FLASH QSPI 128Mb/16MB 3.6V 166MHz WSON8 6X5"                                                                              
U2         ISP1807-LR                  BottomLayer ISP1807-LR              2400.000      1185.000      0        "IC ISP Smart Bluetooth Module"                                                                                                              
SW2        PTS820J2x                   TopLayer    TL1015                  2640.000      375.000       270      "SW SPST PB 50MA 12V SMT CK variant"                                                                                                         
SW1        CT8132BV-IS3                TopLayer    SOT95P280X140-3N        400.000       75.000        180      "Board Mount Hall Effect/Magnetic Sensors Integrated Digital Omnipolar, TMR, High Sensitivity Magnetic Switch, SOT23 Package, Ind Temp, 2Hz" 
R49        CRCW040249K9FKED            TopLayer    RESC1005X40N            480.000       165.000       180      "Thick Film Resistors - SMD 1/16watt 49.9Kohms 1%"                                                                                           
R47        RC0201FR-070RL              TopLayer    RESC0603X26N            1860.872      990.129       270      "Thick Film Resistors - SMD 0 Ohms 50mW 0201 1%"                                                                                             
R46        RC0201FR-070RL              TopLayer    RESC0603X26N            1870.479      933.416       180      "Thick Film Resistors - SMD 0 Ohms 50mW 0201 1%"                                                                                             
R45        CRCW020136K5FNED            TopLayer    RESC0603X28N            1865.154      846.378       180      "Thick Film Resistors - SMD 36.5Kohm 1% 200ppm"                                                                                              
R42        ERJ-U02F4700X               TopLayer    ERJS02_U02_(0402)       1149.644      725.000       0        "Thick Film Resistors - SMD 1/20watt 470ohms 1% 200ppm"                                                                                      
R41        CRCW04023K30FKED            BottomLayer RESC1005X40N            264.925       829.685       180      "Thick Film Resistors - SMD 1/16watt 3.3Kohms 1% 100ppm"                                                                                     
R40        ERJ-U02F4700X               TopLayer    ERJS02_U02_(0402)       1149.644      800.000       0        "Thick Film Resistors - SMD 1/20watt 470ohms 1% 200ppm"                                                                                      
R34        CRCW02015K10JNED            TopLayer    RESC0603X28N            2377.992      660.000       90       "Thick Film Resistors - SMD 1/20watt 5.1Kohms 5% 200ppm"                                                                                     
R33        CRCW02015K10JNED            TopLayer    RESC0603X28N            2540.000      1040.000      270      "Thick Film Resistors - SMD 1/20watt 5.1Kohms 5% 200ppm"                                                                                     
R32        1kR                         TopLayer    RESC0603X28N            1416.812      1101.369      270      "Thick Film Resistors - SMD 1/20watt 1Kohms 1% 200ppm"                                                                                       
R30        1kR                         TopLayer    RESC0603X28N            1575.435      1122.912      180      "Thick Film Resistors - SMD 1/20watt 1Kohms 1% 200ppm"                                                                                       
R27        1kR                         TopLayer    RESC0603X28N            1681.811      1048.818      270      "Thick Film Resistors - SMD 1/20watt 1Kohms 1% 200ppm"                                                                                       
R25        "1.6K 0201 1% 100PPM"       TopLayer    RES0201L                1705.000      665.000       180      "RES 1.6K 0201 1% 100PPM"                                                                                                                    
R24        "330R 0201 1% 100PPM"       TopLayer    RES0201L                1705.000      635.000       180      "RES 330R 0201 1% 100PPM"                                                                                                                    
R23        "750R 0201 1% 100PPM"       TopLayer    RES0201L                1780.000      833.976       90       "RES 750R 0201 1% 100PPM"                                                                                                                    
R22        RC0201FR-7D1ML              BottomLayer RESC0603X26N            2133.386      620.000       180      "Thick Film Resistors - SMD 1 MOhms 50 mW 0201 1%"                                                                                           
R21        RC0201FR-7D1ML              TopLayer    RESC0603X26N            1341.695      327.638       90       "Thick Film Resistors - SMD 1 MOhms 50 mW 0201 1%"                                                                                           
R28        RC0201FR-7D1ML              TopLayer    RESC0603X26N            1630.001      960.000       90       "Thick Film Resistors - SMD 1 MOhms 50 mW 0201 1%"                                                                                           
R20        RC0201FR-7D1ML              BottomLayer RESC0603X26N            1620.000      388.386       90       "Thick Film Resistors - SMD 1 MOhms 50 mW 0201 1%"                                                                                           
R19        RC0201FR-7D1ML              BottomLayer RESC0603X26N            1955.000      898.385       90       "Thick Film Resistors - SMD 1 MOhms 50 mW 0201 1%"                                                                                           
R17        "0R 0201"                   TopLayer    RES0201N                2463.764      1176.353      0        "RES 0R 0201"                                                                                                                                
R16        "10K 0201 1% 100PPM"        TopLayer    RES0201L                2520.000      325.000       180      "RES 10K 0201 1% 100PPM"                                                                                                                     
R14        RC0402JR-7D330RL            TopLayer    RESC1005X40N            1490.000      766.024       0        "Thick Film Resistors - SMD 330 Ohms 62.5mW 0402 5%"                                                                                         
R13        RC0402JR-7D1KL              TopLayer    RESC1005X40N            1510.000      850.000       90       "Thick Film Resistors - SMD 1 kOhms 62.5 mW 0402 5%"                                                                                         
R7         CRG0402F1M0                 BottomLayer RESC1005X40N            620.000       40.000        180      "Thick Film Resistors  - SMD 0402 0.063 W 1MOhms"                                                                                            
